plant_id,sex,fp1_x_ft,fp1_y_ft,x_meters,y_meters,soil_sampled
1,H,2.81766606,28.60824361,0.858824615,8.719792652,No
2,H,8.885985728,25.62502959,2.70844845,7.81050902,No
3,H,10.63967901,22.89174791,3.242974164,6.977404762,No
4,H,10.68134568,22.93341457,3.255674164,6.990104762,No
5,H,10.68134568,22.78758124,3.255674164,6.945654762,No
6,H,8.301976655,23.2024704,2.530442485,7.072112978,No
7,H,8.89660341,22.73064615,2.711684719,6.928300947,No
8,H,7.522667207,22.40164367,2.292908965,6.82802099,No
9,H,5.564547521,19.17968924,1.696074084,5.845969279,No
10,H,5.616630854,19.1588559,1.711949084,5.839619279,No
11,H,-5.201972833,-23.49487059,-1.585561319,-7.161236555,No
12,H,-5.368639499,-23.32820392,-1.636361319,-7.110436555,No
13,H,-17.06301273,-25.00172268,-5.200806281,-7.620525072,No
14,H,-17.08835179,-33.82243495,-5.208529626,-10.30907817,No
15,H,-17.10918512,-33.78076828,-5.214879626,-10.29637817,No
16,H,-17.18210179,-33.84326828,-5.237104626,-10.31542817,No
17,H,-17.21335179,-33.86410161,-5.246629626,-10.32177817,No
18,U,-22.61668953,-37.69205438,-6.893566968,-11.48853818,No
19,F,-22.61668953,-37.53580438,-6.893566968,-11.44091318,No
20,H,-23.52376959,-35.20580919,-7.170044971,-10.73073064,No
21,H,-23.32898364,-34.18298915,-7.110674212,-10.41897509,No
22,H,-22.2638594,-53.1522061,-6.786024344,-16.20079242,No
23,H,-22.22219273,-53.0272061,-6.773324344,-16.16269242,No
24,H,-37.6369233,-48.18373889,-11.47173422,-14.68640361,No
25,H,-39.76140752,-47.48853721,-12.11927701,-14.47450614,No
26,H,-54.90046533,-52.80750637,-16.73366183,-16.09572794,No
27,NF,-54.97338199,-52.83875637,-16.75588683,-16.10525294,No
28,H,-54.98379866,-52.80750637,-16.75906183,-16.09572794,No
29,H,-54.93171533,-52.72417304,-16.74318683,-16.07032794,No
30,H,-63.45228824,-44.54839857,-19.34025745,-13.57835188,No
31,H,-64.43331522,-43.20123838,-19.63927448,-13.16773746,No
32,H,-91.34795563,-39.98993093,-27.84285688,-12.18893095,No
33,H,-103.5070171,-7.523174534,-31.5489388,-2.293063598,No
34,H,-103.5717693,-4.610608738,-31.56867529,-1.405313543,No
35,H,-103.6655193,-4.516858738,-31.59725029,-1.376738543,No
36,NF,-103.738436,-4.454358738,-31.61947529,-1.357688543,No
37,H,-103.6342693,-4.423108738,-31.58772529,-1.348163543,No
38,H,-103.7176027,-4.402275405,-31.61312529,-1.341813543,No
39,H,-112.5880753,-39.59273925,-34.31684537,-12.06786692,No
40,H,-112.5776587,-39.64482259,-34.31367037,-12.08374192,No
41,H,-111.2310504,-43.42755069,-33.90322416,-13.23671745,No
42,H,-107.7875046,-44.31447474,-32.85363141,-13.5070519,No
43,H,-107.8708379,-44.31447474,-32.87903141,-13.5070519,No
44,H,-107.8708379,-44.43947474,-32.87903141,-13.5451519,No
45,H,-106.1624436,-49.07482329,-32.35831281,-14.95800614,No
46,H,-106.2249436,-49.15815663,-32.37736281,-14.98340614,No
47,H,-106.2457769,-49.05398996,-32.38371281,-14.95165614,No
48,H,-111.4234978,-45.88158704,-33.96188212,-13.98470773,No
49,H,-111.4859978,-45.83992037,-33.98093212,-13.97200773,No
50,H,-127.1639915,-48.99477553,-38.75958462,-14.93360758,No
51,H,-130.3159306,-44.69330879,-39.72029564,-13.62252052,No
52,H,-130.8367639,-44.63080879,-39.87904564,-13.60347052,No
53,H,-130.6700972,-44.50580879,-39.82824564,-13.56537052,No
54,H,-130.7638472,-44.63080879,-39.85682064,-13.60347052,No
55,H,-139.3316194,-49.00098147,-42.4682776,-14.93549915,No
56,H,-139.1441194,-49.08431481,-42.4111276,-14.96089915,No
57,H,-139.2899528,-48.83431481,-42.4555776,-14.88469915,No
58,H,-139.1545361,-48.68848147,-42.4143026,-14.84024915,No
59,H,-141.2356248,-41.86733797,-43.04861845,-12.76116461,No
60,H,-142.6972061,-40.70538338,-43.49410841,-12.40700085,No
61,H,-146.1279848,-44.07719989,-44.53980976,-13.43473053,No
62,H,-146.0029848,-44.18136655,-44.50170976,-13.46648053,No
63,F,-139.6757927,-80.56035815,-42.57318162,-24.55479717,No
64,GM,-137.7457179,-83.17740987,-41.98489482,-25.35247453,No
65,H,-118.932524,-82.90231937,-36.25063332,-25.26862694,No
66,H,-118.870024,-82.83981937,-36.23158332,-25.24957694,No
67,H,-118.807524,-82.90231937,-36.21253332,-25.26862694,No
68,F,-115.2266709,-79.61938531,-35.12108928,-24.26798864,No
69,F,-115.1225042,-79.57771864,-35.08933928,-24.25528864,No
70,F,-115.7337417,-78.53373941,-35.27564446,-23.93708377,No
71,F,-115.5774917,-78.50248941,-35.22801946,-23.92755877,No
72,F,-115.6087417,-78.57540608,-35.23754446,-23.94978377,No
73,F,-115.660825,-78.36707274,-35.25341946,-23.88628377,No
74,F,-115.4941583,-78.46082274,-35.20261946,-23.91485877,No
75,F,-115.442075,-78.50248941,-35.18674446,-23.92755877,No
76,F,-110.6490489,-78.08401529,-33.72583011,-23.80000786,No
77,F,-110.5032156,-77.87568196,-33.68138011,-23.73650786,No
78,H,-118.327649,-72.12298785,-36.06626743,-21.9830867,No
79,H,-118.5568157,-71.89382118,-36.13611743,-21.9132367,No
80,H,-117.2898041,-69.55309703,-35.74993229,-21.19978398,No
81,H,-117.2898041,-69.63643037,-35.74993229,-21.22518398,No
82,H,-68.16521894,-78.84349143,-20.77675873,-24.03149619,No
83,H,-81.95571007,-66.72201849,-24.98010043,-20.33687124,No
84,H,-82.1640434,-66.68035183,-25.04360043,-20.32417124,No
85,H,-82.0390434,-66.55535183,-25.00550043,-20.28607124,No
86,H,-83.51612464,-62.94863017,-25.45571479,-19.18674247,No
87,H,-82.46374718,-61.77525868,-25.13495014,-18.82909884,No
88,H,-82.51583051,-61.67109201,-25.15082514,-18.79734884,No
89,H,-82.08453463,-58.15949764,-25.01936616,-17.72701488,No
90,H,-82.23036797,-58.41991431,-25.06381616,-17.80638988,No
91,H,-82.06247172,-60.6339923,-25.01264138,-18.48124085,No
92,H,-86.17625519,-59.21253113,-26.26652258,-18.04797949,No
93,H,-87.02147011,-59.26045256,-26.52414409,-18.06258594,No
94,H,-87.14335654,-58.43142238,-26.56129507,-17.80989754,No
95,H,-89.18944525,-58.69099076,-27.18494291,-17.88901398,No
96,H,-91.2184588,-72.04311833,-27.80338624,-21.95874247,No
97,H,-91.13512547,-72.178535,-27.77798624,-22.00001747,No
98,F,-126.5981431,-91.62782821,-38.58711402,-27.92816204,No
99,F,-128.9632623,-95.09454409,-39.30800236,-28.98481704,No
100,F,-129.0032588,-91.86428229,-39.32019328,-28.00023324,No
101,H,NA,NA,NA,NA,No
102,H,-176.6297293,-91.36077204,-53.8367415,-27.84676332,No
103,F,-135.1540737,-86.26607314,-41.19496168,-26.29389909,No
Soil Sample 1,H,5.564547521,19.17968924,1.696074084,5.845969279,Yes
Soil Sample 2,F,-22.61668953,-37.53580438,-6.893566968,-11.44091318,Yes
Soil Sample 3,H,-139.3316194,-49.00098147,-42.4682776,-14.93549915,Yes
Soil Sample 4,F,-139.6757927,-80.56035815,-42.57318162,-24.55479717,Yes
Soil Sample 5,F,-115.7337417,-78.53373941,-35.27564446,-23.93708377,Yes
Soil Sample 6,H,-81.95571007,-66.72201849,-24.98010043,-20.33687124,Yes